from,to,date
810,SGabriel,09.01.2020
810,DTekkal,09.01.2020
810,UBecker,09.01.2020
810,DGerlach,09.01.2020
810,EThevessen,09.01.2020
811,HMaas,16.01.2020
811,SOsterer,16.01.2020
811,FGaub,16.01.2020
811,AShalicar,16.01.2020
811,CStelzenmueller,16.01.2020
812,PAltmaier,23.01.2020
812,CReemtsma,23.01.2020
812,KAndreae,23.01.2020
812,AKirchhoff,23.01.2020
812,FSchaetzing,23.01.2020
813,JSpahn,30.01.2020
813,MBrinkmann,30.01.2020
813,JWimmer,30.01.2020
813,FLee,30.01.2020
813,VHaller,30.01.2020
813,URoeller,30.01.2020
814,MKretschmer,06.02.2020
814,RHabeck,06.02.2020
814,JWissler,06.02.2020
814,LTeuteberg,06.02.2020
814,AGauland,06.02.2020
814,DRosenfeld,06.02.2020
815,THans,13.02.2020
815,TKuban,13.02.2020
815,NWalter-Borjans,13.02.2020
815,KKipping,13.02.2020
815,RAlexander,13.02.2020
815,SKropp,13.02.2020
816,CReimann,27.02.2020
816,KReinhardt ,27.02.2020
816,CDrosten,27.02.2020
816,JWimmer,27.02.2020
816,ASchadwinkel,27.02.2020
816,ARuedinger ,27.02.2020
816,JSpahn,27.02.2020
817,PZiemiak,05.03.2020
817,ABaerbock,05.03.2020
817,GKnaus,05.03.2020
817,LKaddor,05.03.2020
817,KHelberg,05.03.2020
817,MvonManteuffel,05.03.2020
818,OScholz,12.03.2020
818,HMueller,12.03.2020
818,CDrosten,12.03.2020
818,SFlasspoehler,12.03.2020
818,VHaller,12.03.2020
819,HHeil,19.03.2020
819,SJohna,19.03.2020
819,KShi-Kupfer,19.03.2020
819,CDrosten,19.03.2020
820,KLauterbach,26.03.2020
820,AUllmann,26.03.2020
820,YFalckner,26.03.2020
820,ATheiler,26.03.2020
820,SCiesek,26.03.2020
820,AGrafLambsdorff,26.03.2020
821,MBrinkmann,02.04.2020
821,HBraun,02.04.2020
821,CWoopen,02.04.2020
821,MZiemons,02.04.2020
821,DBrockmann,02.04.2020
822,CDrosten,16.04.2020
822,MSoeder,16.04.2020
822,CLindner,16.04.2020
822,RYogeshwar,16.04.2020
822,CHoffmann,16.04.2020
823,MDreyer,23.04.2020
823,COezdemir,23.04.2020
823,HDiess,23.04.2020
823,HStreeck,23.04.2020
823,MNguyen-Kim,23.04.2020
824,CLindner,30.04.2020
824,FGiffey,30.04.2020
824,JSchmidt-Chanasit,30.04.2020
824,KSaalfrank,30.04.2020
824,UDiFabio,30.04.2020
824,RGiese,30.04.2020
825,HBraun,07.05.2020
825,SWeil,07.05.2020
825,ABuyx,07.05.2020
825,RvonBredow,07.05.2020
825,RYogeshwar,07.05.2020
826,THans,14.05.2020
826,BPalmer,14.05.2020
826,CWoopen,14.05.2020
826,MMeyer-Hermann,14.05.2020
826,NBlome,14.05.2020
827,ALaschet,28.05.2020
827,KKipping,28.05.2020
827,JSchmidt-Chanasit,28.05.2020
827,RMessner,28.05.2020
827,MLinnhoff,28.05.2020
828,PAltmaier,04.06.2020
828,ABaerbock,04.06.2020
828,MConte,04.06.2020
828,SRoeser,04.06.2020
828,LFeld,04.06.2020
829,KNocun,11.06.2020
829,MPech,11.06.2020
829,HStreeck,11.06.2020
829,HBraun,11.06.2020
829,SPufpaff,11.06.2020
830,FGiffey,18.06.2020
830,HReul,18.06.2020
830,SHoward,18.06.2020
830,JvonWeiler,18.06.2020
830,SFiedler,18.06.2020
830,PBriken,18.06.2020
831,WBosbach,25.06.2020
831,COezdemir,25.06.2020
831,IBaydar,25.06.2020
831,SFiedler,25.06.2020
832,MSchwesig,02.07.2020
832,MSoeder,02.07.2020
832,UTeichert,02.07.2020
832,JMarinic,02.07.2020
832,JSchmidt-Chanasit,02.07.2020
833,PAltmaier,09.07.2020
833,SWagenknecht,09.07.2020
833,SDavid-Wilp,09.07.2020
833,SNavidi,09.07.2020
833,HStreeck,09.07.2020
833,MSchnitzer,09.07.2020
834,MDreyer,20.08.2020
834,KLaumann,20.08.2020
834,UTeichert,20.08.2020
834,JSchmidt-Chanasit,20.08.2020
834,HElbracht,20.08.2020
835,HBraun,27.08.2020
835,MSchwesig,27.08.2020
835,MBrinkmann,27.08.2020
835,ABuyx,27.08.2020
835,NGruenewald,27.08.2020
835,MMueller,27.08.2020
836,HMaas,10.09.2020
836,GGysi,10.09.2020
836,MWeisband,10.09.2020
836,SNemzowa,10.09.2020
836,ARahr,10.09.2020
836,TSnyder,10.09.2020
837,OScholz,17.09.2020
837,MSoeder,17.09.2020
837,MSchnitzer,17.09.2020
837,SBeckmann,17.09.2020
837,KHaeusgen,17.09.2020
837,KZastrow,17.09.2020
838,MMueller,24.09.2020
838,VWissing,24.09.2020
838,UTeichert,24.09.2020
838,SKatzenstein,24.09.2020
838,UProtzer,24.09.2020
838,MMeyer-Hermann,24.09.2020
839,SGabriel,01.10.2020
839,MWeisband,01.10.2020
839,AKausche,01.10.2020
839,PRough,01.10.2020
839,JPuglierin,01.10.2020
839,CKleber,01.10.2020
840,HBraun,08.10.2020
840,MDreyer,08.10.2020
840,IEckerle,08.10.2020
840,EThevessen,08.10.2020
840,JNida-Ruemelin,08.10.2020
840,PLarscheid,08.10.2020
840,ULemper,08.10.2020