id,name,sex,party
HEBR,Helge Braun,1,1
MADR,Malu Dreyer,2,2
PEAL,Peter Altmaier,1,1
MASC,Manuela Schwesig,2,2
OLSC,Olaf Scholz,1,2
TOHA,Tobias Hans,1,1
SAWA,Sarah Wagenknecht,2,4
SIGA,Sigmar Gabriel,1,2
ANBA,Annalena Baerbock,2,3
CHLI,Christian Lindner,1,5
MASO,Markus Söder,1,1
FRGI,Franziska Giffey,2,2
KALA,Karl Lauterbach,1,2
BOPA,Boris Palmer,1,3
HERE,Herbert Reul,1,1
ROHA,Robert Habeck,1,3
MAWE,Marina Weißband,2,3
HEMA,Heiko Maas,1,2
CEOE,Cem Özdemir,1,3
ARLA,Armin Laschet,1,1
MAIL,Maybrit Illner,2,0