from,to,relationship,time
thhi,vfbagv,0,2021
vfbagv,thhi,0,
vfbagv,toke,2,
toke,vfbagv,2,2021
vfbagv,olsc,2,
olsc,vfbagv,2,2021
vfbagar,clvo,,
clvo,vfbagar,0,2021
vfbev,clvo,,
clvo,vfbev,0,2021
vfbagar,wipo,,
wipo,vfbagar,1,2021
vfbagar,raad,,
raad,vfbagar,2,2021
vfbev,raad,,
raad,vfbev,2,2021
vfbagar,haje,,
haje,vfbagar,1,2021
vfbagar,frre,,
frre,vfbagar,2,2021
vfbagar,besu,,
besu,vfbagar,2,2021
daag,wipo,,
wipo,daag,2,2021
suedw,wipo,,
wipo,suedw,0,2021
robo,clvo,,
clvo,robo,3,1996
metro,clvo,,
clvo,metro,3,2010
inte,clvo,,
clvo,inte,0,2021
plfa,clvo,,
clvo,plfa,0,2019
plfa,clvo,,
clvo,plfa,2,2021
vfbev,thhi,,
thhi,vfbev,2,2019
vfbnlz,thhi,,
thhi,vfbnlz,0,2019
ard,thhi,,
thhi,ard,3,2019
bos,toke,,
toke,bos,3,2018
vfbs,olsc,,
olsc,vfbs,3,2012
vflw,olsc,,
olsc,vflw,3,2014
koclu,olsc,,
olsc,koclu,2,2021
alkae,haje,,
haje,alkae,0,2021
damoag,frre,,
frre,damoag,0,2021
robo,besu,,
besu,robo,3,2021
fcg,besu,,
besu,fcg,2,2021