id,name,type,age,job,position,representation
thhi,Thomas Hitzlsperger,0,38,0,0,1
toke,Tobias Keller,0,40,0,2,3
olsc,Oliver Schraft,0,53,0,2,0
clvo,Claus Vogt,0,51,1,0,
wipo,Wilfried Porth,0,62,1,1,
raad,Rainer Adrion,0,67,1,2,
haje,Hartmut Jenner,0,55,1,1,
frre,Franz Reiner,0,53,1,2,
besu,Bertram Sugg,0,55,1,2,
vfbev,Praesidium VfB Stuttgart 1893 e.V.,1,,,,
vfbagar,Aufsichtsrat VfB Stuttgart 1893 AG,1,,,,
vfbagv,Vorstand der VfB Stuttgart 1893 AG,1,,,,
daag,Daimler AG,1,,,,
suedw,Suedwestmetall,1,,,,
robo,Robert Bosch GmbH,1,,,,
metro,Metro Wertstoff Circle Services GmbH u,1,,,,
inte,Intesia Group Holding GmbH,1,,,,
plfa,FC PlayFair!,1,,,,
vfbnlz,Nachwuchsleistungszentrum des VfB,1,,,,
ard,ARD Sportschau,1,,,,
bos,The Boston Consulting Group,1,,,,
koclu,Kommission Clubmedien,1,,,,
vfbs,VfB Stuttgart,1,,,,
vflw,VfL Wolfsburg,1,,,,
alkae,Alfred Kaercher SE & Co. KG,1,,,,
damoag,Daimler Mobility AG,1,,,,
fcg,VfB Fanclub Courage Gerlingen,1,,,,